FUNC __main__.calc_pure_python 63.5625 1737481706.8304 106.0000 1737481709.1323 0
FUNC __main__.calculate_z_serial_purepython 141.9688 1737481706.9739 167.0000 1737481709.1201 1
CMDLINE /usr/local/bin/python3 JuliaSet.py
MEM 0.187500 1737481706.5858
MEM 37.734375 1737481706.6894
MEM 55.625000 1737481706.7947
MEM 104.328125 1737481706.8962
MEM 152.640625 1737481707.0023
MEM 154.812500 1737481707.1075
MEM 155.500000 1737481707.2113
MEM 156.031250 1737481707.3164
MEM 156.500000 1737481707.4216
MEM 156.906250 1737481707.5251
MEM 157.265625 1737481707.6277
MEM 157.640625 1737481707.7328
MEM 158.000000 1737481707.8379
MEM 158.375000 1737481707.9393
MEM 158.750000 1737481708.0444
MEM 159.125000 1737481708.1495
MEM 159.515625 1737481708.2546
MEM 159.859375 1737481708.3577
MEM 160.234375 1737481708.4608
MEM 160.609375 1737481708.5659
MEM 161.015625 1737481708.6710
MEM 161.484375 1737481708.7737
MEM 161.984375 1737481708.8787
MEM 162.671875 1737481708.9838
MEM 164.046875 1737481709.0890
