CMDLINE /usr/local/bin/python3 diffusion.py
MEM 0.234375 1737501782.4312
MEM 43.687500 1737501782.5364
MEM 68.796875 1737501782.6414
MEM 75.859375 1737501782.7466
MEM 71.046875 1737501782.8488
MEM 76.375000 1737501782.9539
MEM 71.046875 1737501783.0590
MEM 77.640625 1737501783.1641
MEM 74.046875 1737501783.2692
MEM 78.765625 1737501783.3743
MEM 74.046875 1737501783.4794
MEM 79.593750 1737501783.5820
MEM 77.046875 1737501783.6871
MEM 80.687500 1737501783.7922
MEM 83.296875 1737501783.8945
MEM 87.875000 1737501783.9995
MEM 95.703125 1737501784.1028
MEM 95.250000 1737501784.2079
MEM 95.703125 1737501784.3130
MEM 96.843750 1737501784.4182
MEM 96.843750 1737501784.5233
MEM 99.984375 1737501784.6284
MEM 99.984375 1737501784.7335
MEM 99.984375 1737501784.8385
MEM 99.984375 1737501784.9436
MEM 100.015625 1737501785.0464
MEM 100.015625 1737501785.1515
MEM 100.031250 1737501785.2567
MEM 100.062500 1737501785.3610
MEM 103.203125 1737501785.4661
MEM 103.203125 1737501785.5713
MEM 103.203125 1737501785.6766
MEM 103.203125 1737501785.7816
MEM 103.203125 1737501785.8868
MEM 103.203125 1737501785.9919
MEM 103.203125 1737501786.0970
MEM 103.203125 1737501786.2007
MEM 103.203125 1737501786.3059
MEM 103.203125 1737501786.4110
MEM 103.203125 1737501786.5161
MEM 103.203125 1737501786.6212
MEM 103.203125 1737501786.7262
MEM 103.203125 1737501786.8313
MEM 103.203125 1737501786.9364
MEM 103.203125 1737501787.0415
MEM 103.203125 1737501787.1465
MEM 103.203125 1737501787.2517
MEM 103.218750 1737501787.3567
MEM 103.218750 1737501787.4619
MEM 103.218750 1737501787.5670
MEM 103.218750 1737501787.6721
MEM 103.218750 1737501787.7773
MEM 103.218750 1737501787.8824
MEM 103.218750 1737501787.9875
MEM 103.218750 1737501788.0926
MEM 103.218750 1737501788.1977
MEM 103.218750 1737501788.3029
MEM 103.218750 1737501788.4079
MEM 103.218750 1737501788.5123
MEM 103.218750 1737501788.6174
MEM 103.218750 1737501788.7194
MEM 103.421875 1737501788.8247
MEM 103.421875 1737501788.9299
MEM 103.421875 1737501789.0349
MEM 103.421875 1737501789.1372
MEM 103.421875 1737501789.2424
MEM 103.421875 1737501789.3458
MEM 103.421875 1737501789.4508
MEM 103.421875 1737501789.5560
MEM 103.421875 1737501789.6610
MEM 103.421875 1737501789.7661
MEM 103.421875 1737501789.8712
MEM 103.421875 1737501789.9726
MEM 103.421875 1737501790.0777
MEM 103.421875 1737501790.1828
MEM 103.421875 1737501790.2879
MEM 103.421875 1737501790.3930
MEM 103.421875 1737501790.4944
MEM 103.421875 1737501790.5995
MEM 103.421875 1737501790.7017
MEM 103.421875 1737501790.8068
MEM 103.421875 1737501790.9117
MEM 103.421875 1737501791.0168
MEM 103.421875 1737501791.1220
MEM 103.421875 1737501791.2271
MEM 103.421875 1737501791.3322
MEM 103.421875 1737501791.4373
MEM 103.421875 1737501791.5424
MEM 103.421875 1737501791.6475
MEM 103.421875 1737501791.7525
MEM 103.421875 1737501791.8576
MEM 103.421875 1737501791.9626
MEM 103.421875 1737501792.0677
MEM 103.437500 1737501792.1728
MEM 103.437500 1737501792.2779
MEM 103.437500 1737501792.3816
MEM 103.437500 1737501792.4866
MEM 103.437500 1737501792.5917
MEM 103.437500 1737501792.6968
MEM 103.437500 1737501792.8018
MEM 103.437500 1737501792.9069
MEM 103.437500 1737501793.0119
MEM 103.437500 1737501793.1170
MEM 103.437500 1737501793.2221
MEM 103.437500 1737501793.3271
MEM 103.437500 1737501793.4322
MEM 103.437500 1737501793.5360
MEM 103.437500 1737501793.6377
MEM 103.437500 1737501793.7427
MEM 103.437500 1737501793.8478
MEM 103.437500 1737501793.9529
MEM 103.437500 1737501794.0579
MEM 103.437500 1737501794.1630
MEM 103.437500 1737501794.2681
MEM 103.437500 1737501794.3684
MEM 103.437500 1737501794.4735
MEM 103.453125 1737501794.5785
MEM 103.453125 1737501794.6836
MEM 103.453125 1737501794.7887
MEM 103.453125 1737501794.8938
MEM 103.453125 1737501794.9989
MEM 103.453125 1737501795.1007
MEM 103.453125 1737501795.2058
MEM 103.453125 1737501795.3109
